X	Y	Z	influencia	Az
4398453.91	7473064.339	-6423.989237	0.003769	354.2
4398523.431	7473064.339	-6414.842138	0.003783	354.2
4398592.951	7473064.339	-6405.811701	0.003797	354.2
4398662.472	7473064.339	-6396.878607	0.003812	354.2
4398731.993	7473064.339	-6388.033257	0.003827	354.2
4398801.513	7473064.339	-6379.271026	0.003842	354.2
4398871.034	7473064.339	-6370.587689	0.003857	354.2
4398940.554	7473064.339	-6361.972506	0.003872	354.2
4399010.075	7473064.339	-6353.396297	0.003888	354.2
4399079.595	7473064.339	-6344.797771	0.003903	354.2
4399149.116	7473064.339	-6336.077178	0.003919	354.2
4399218.636	7473064.339	-6327.103522	0.003935	354.2
4399288.157	7473064.339	-6317.7293	0.003951	354.2
4399357.677	7473064.339	-6307.801105	0.003967	354.2
4399427.198	7473064.339	-6297.167437	0.003984	354.2
4399496.719	7473064.339	-6285.698008	0.004	354.2
4399566.239	7473064.339	-6273.319446	0.004017	354.2
4399635.76	7473064.339	-6260.053552	0.004034	354.2
4399705.28	7473064.339	-6246.03638	0.004051	354.2
4399774.801	7473064.339	-6231.494911	0.004069	354.2
4399844.321	7473064.339	-6216.671614	0.004086	354.2
4399913.842	7473064.339	-6201.732551	0.004104	354.2
4399983.362	7473064.339	-6186.725903	0.004122	354.2
4400052.883	7473064.339	-6171.61602	0.00414	354.2
4400122.404	7473064.339	-6156.347349	0.004159	354.2
4400191.924	7473064.339	-6140.882093	0.004178	354.2
4400261.445	7473064.339	-6125.201645	0.004197	354.2
4400330.965	7473064.339	-6109.29354	0.004216	354.2
4400400.486	7473064.339	-6093.138267	0.004235	354.2
4400470.006	7473064.339	-6076.698399	0.004255	354.2
4400539.527	7473064.339	-6059.915702	0.004274	354.2
4400609.047	7473064.339	-6042.72246	0.004295	354.2
4400678.568	7473064.339	-6025.060391	0.004315	354.2
4400748.088	7473064.339	-6006.892584	0.004336	354.2
4400817.609	7473064.339	-5988.203419	0.004356	354.2
4400887.13	7473064.339	-5968.99121	0.004378	354.2
4400956.65	7473064.339	-5949.257066	0.004399	354.2
4401026.171	7473064.339	-5928.993916	0.004421	354.2
4401095.691	7473064.339	-5908.182795	0.004443	354.2
4401165.212	7473064.339	-5886.794166	0.004465	354.2
4401234.732	7473064.339	-5864.78145	0.004488	354.2
4401304.253	7473064.339	-5842.067803	0.00451	354.2
4401373.773	7473064.339	-5818.547173	0.004534	354.2
4401443.294	7473064.339	-5794.107672	0.004557	354.2
4401512.814	7473064.339	-5768.655058	0.004581	354.2
4401582.335	7473064.339	-5742.116902	0.004605	354.2
4401651.856	7473064.339	-5714.434538	0.00463	354.2
4401721.376	7473064.339	-5685.552859	0.004655	354.2
4401790.897	7473064.339	-5655.407293	0.00468	354.2
4401860.417	7473064.339	-5623.918944	0.004705	354.2
4401929.938	7473064.339	-5591.018061	0.004731	354.2
4401999.458	7473064.339	-5556.689612	0.004758	354.2
4402068.979	7473064.339	-5521.011262	0.004785	354.2
4402138.499	7473064.339	-5484.167878	0.004812	354.2
4402208.02	7473064.339	-5446.440961	0.004839	354.2
4402277.54	7473064.339	-5408.161736	0.004867	354.2
4402347.061	7473064.339	-5369.621948	0.004896	354.2
4402416.582	7473064.339	-5330.973942	0.004925	354.2
4402486.102	7473064.339	-5292.177085	0.004954	354.2
4402555.623	7473064.339	-5253.026933	0.004984	354.2
4402625.143	7473064.339	-5213.25871	0.005014	354.2
4402694.664	7473064.339	-5172.681739	0.005045	354.2
4402764.184	7473064.339	-5131.277346	0.005076	354.2
4402833.705	7473064.339	-5089.195059	0.005108	354.2
4402903.225	7473064.339	-5046.64874	0.005141	354.2
4402972.746	7473064.339	-5003.799689	0.005174	354.2
4403042.267	7473064.339	-4960.711753	0.005207	354.2
