X Y Z K_gauss trend plunge
4405823.088 7472885.23 -3551.214036 7.14E-11 264.999 74.756
4405892.609 7472885.23 -3533.544536 -3.96E-11 265.19 75.402
4405962.13 7472885.23 -3517.226824 -1.79E-10 265.425 76.016
4406031.65 7472885.23 -3502.021861 -3.35E-10 265.703 76.605
4406101.171 7472885.23 -3487.528813 -4.92E-10 266.024 77.173
4406170.691 7472885.23 -3473.297458 -6.30E-10 266.39 77.719
4406240.212 7472885.23 -3458.984502 -7.34E-10 266.808 78.243
4406309.732 7472885.23 -3444.470216 -7.91E-10 267.284 78.742
4406379.253 7472885.23 -3429.874423 -7.94E-10 267.824 79.21
4406448.773 7472885.23 -3415.477838 -7.46E-10 268.432 79.647
4406518.294 7472885.23 -3401.606948 -6.52E-10 269.107 80.055
4406587.814 7472885.23 -3388.545313 -5.27E-10 269.846 80.442
4406657.335 7472885.23 -3376.497721 -3.85E-10 270.64 80.82
4406726.856 7472885.23 -3365.580296 -2.42E-10 271.484 81.2
4406796.376 7472885.23 -3355.792234 -1.09E-10 272.377 81.592
4406865.897 7472885.23 -3346.97669 6.28E-12 273.322 82.001
4406935.417 7472885.23 -3338.836165 1.01E-10 274.326 82.423
4407004.938 7472885.23 -3331.039383 1.75E-10 275.397 82.852
4407074.458 7472885.23 -3323.362791 2.28E-10 276.54 83.277
4407143.979 7472885.23 -3315.766391 2.63E-10 277.754 83.684
4407213.499 7472885.23 -3308.360946 2.82E-10 279.034 84.063
4407283.02 7472885.23 -3301.308151 2.89E-10 280.367 84.408
4407352.54 7472885.23 -3294.727469 2.88E-10 281.74 84.717
4407422.061 7472885.23 -3288.659685 2.84E-10 283.149 84.995
4407491.582 7472885.23 -3283.086414 2.83E-10 284.598 85.25
4407561.102 7472885.23 -3277.960813 2.89E-10 286.111 85.491
4407630.623 7472885.23 -3273.208702 3.08E-10 287.724 85.729
4407700.143 7472885.23 -3268.709241 3.41E-10 289.477 85.968
4407769.664 7472885.23 -3264.298274 3.86E-10 291.407 86.211
4407839.184 7472885.23 -3259.818593 4.41E-10 293.538 86.453
4407908.705 7472885.23 -3255.199373 5.02E-10 295.881 86.69
4407978.225 7472885.23 -3250.519153 5.64E-10 298.438 86.918
4408047.746 7472885.23 -3246.003699 6.22E-10 301.205 87.132
4408117.267 7472885.23 -3241.943314 6.73E-10 304.187 87.332
4408186.787 7472885.23 -3238.576566 7.10E-10 307.398 87.515
4408256.308 7472885.23 -3236.015729 7.28E-10 310.86 87.681
4408325.828 7472885.23 -3234.241618 7.22E-10 314.599 87.829
4408395.349 7472885.23 -3233.135338 6.88E-10 318.637 87.959
4408464.869 7472885.23 -3232.514575 6.30E-10 322.983 88.07
4408534.39 7472885.23 -3232.173386 5.53E-10 327.635 88.162
4408603.91 7472885.23 -3231.927752 4.72E-10 332.603 88.233
4408673.431 7472885.23 -3231.651584 4.05E-10 337.926 88.283
4408742.951 7472885.23 -3231.285766 4.35E-10 344.912 88.33
4408812.472 7472885.23 -3230.819662 5.58E-10 353.628 88.349
4408881.993 7472885.23 -3230.260236 7.42E-10 3.136 88.324
4408951.513 7472885.23 -3229.607919 7.56E-10 8.971 88.287
4409021.034 7472885.23 -3228.852116 7.99E-10 14.663 88.226
4409090.554 7472885.23 -3227.986926 8.76E-10 20.632 88.129
4409160.075 7472885.23 -3227.036394 9.91E-10 27.174 87.982
4409229.595 7472885.23 -3226.077564 1.15E-09 34.297 87.756
4409299.116 7472885.23 -3225.261676 1.36E-09 41.699 87.421
